node_1;node_2;distance;traveltime
105737;63521;7815;7033
105737;63523;8265;7439
105737;63525;8658;7792
105737;63527;9049;8144
105737;63529;9998;8998
105737;63531;10854;9769
105737;63533;11729;10556
105737;63535;12812;11531
105737;63537;13742;12368
105737;63539;14503;13053
105737;63541;15181;13663
105737;63543;16366;14729
105737;63545;17054;15349
105737;63547;17484;15736
105737;63549;18623;16761
105737;63551;19205;17285
105737;63801;15795;14215
105737;63803;15780;14202
105737;63813;19078;17170
105737;63815;19580;17622
105737;64005;17394;15654
105737;64007;18205;16384
105737;64009;18625;16762
105737;64127;17282;15554
105737;64476;15166;13649
105737;64478;14446;13002
105737;64480;13827;12444
105737;64482;13672;12305
105737;64484;13932;12539
105737;64486;14060;12654
105737;64488;14721;13249
105737;64490;15791;14212
105737;64500;13845;12460
105737;64555;15080;13572
105737;64559;17160;15444
105737;64561;17001;15301
105737;64562;16583;14924
105737;64567;15876;14288
105737;64571;15646;14082
105737;64573;15622;14059
105737;64579;16181;14563
105737;64583;16555;14899
105737;64585;16495;14845
105737;64591;14901;13411
105737;64731;19604;17643
105737;64735;17600;15840
105737;64737;16652;14986
105737;64739;15161;13645
105737;64741;17155;15439
105737;64743;14387;12948
105737;64892;14865;13378
105737;64894;14966;13469
105737;64900;15526;13974
105737;65001;15749;14174
105737;65003;15695;14125
105737;65004;15920;14328
105737;65007;16191;14572
105737;65009;16494;14845
105737;65011;16577;14920
105737;65015;17296;15567
105737;65017;17077;15369
105737;65019;17812;16031
105737;65021;17875;16087
105737;65023;17420;15678
105737;65025;17020;15318
105737;65029;16309;14678
105737;65031;16240;14616
105737;65035;15610;14049
105737;65037;15849;14264
105737;65039;15484;13935
105737;65042;14530;13077
105737;65046;14321;12889
105737;65053;15127;13614
105737;65055;14935;13442
105737;65061;16506;14855
105737;65069;16762;15086
105737;65071;16972;15275
105737;65073;16812;15131
105737;65121;19541;17587
105737;65123;19156;17241
105737;65125;18748;16873
105737;65127;18339;16505
105737;65129;17993;16193
105737;65131;16938;15244
105737;65133;16404;14764
105737;65135;16446;14802
105737;65137;16176;14559
105737;65139;15644;14080
105737;65141;14953;13458
105737;65143;14332;12898
105737;65145;13702;12332
105737;65147;12939;11645
105737;65299;19259;17333
105737;65301;18302;16471
105737;65303;19820;17838
105737;105204;18816;16934
105737;105220;19785;17806
105737;105221;18504;16653
105737;105242;19784;17805
105737;105243;18457;16611
105737;105244;17515;15764
105737;105266;18293;16463
105737;105267;17086;15378
105737;105286;19425;17482
105737;105303;19617;17655
105737;105323;16791;15112
105737;105324;19233;17309
105737;105340;13292;11963
105737;105383;11363;10226
105737;105384;14018;12616
105737;105386;16972;15275
105737;105404;19310;17379
105737;105405;12582;11324
105737;105425;12458;11212
105737;105426;13223;11900
105737;105427;15697;14127
105737;105428;15813;14232
105737;105453;11812;10631
105737;105454;13878;12490
105737;105456;16992;15293
